"frequency";"R1";"R2";"r S[3,1]";"i S[3,1]"
1e+08;50;1;0.0116661;0.0125169
1.03495e+08;50;1;0.0153963;0.0141314
1.07113e+08;50;1;0.0201455;0.0156746
1.10857e+08;50;1;0.0261433;0.0169879
1.14731e+08;50;1;0.0336521;0.0178338
1.18741e+08;50;1;0.0429615;0.0178673
1.22892e+08;50;1;0.0543748;0.0165978
1.27187e+08;50;1;0.0681819;0.0133413
1.31633e+08;50;1;0.08461;0.00716077
1.36233e+08;50;1;0.103738;-0.0032026
1.40995e+08;50;1;0.125356;-0.0194006
1.45923e+08;50;1;0.148733;-0.0435299
1.51024e+08;50;1;0.172272;-0.0781156
1.56302e+08;50;1;0.192994;-0.125922
1.61765e+08;50;1;0.205909;-0.189397
1.6742e+08;50;1;0.203444;-0.269472
1.73271e+08;50;1;0.175535;-0.363458
1.79328e+08;50;1;0.111493;-0.462349
1.85596e+08;50;1;0.00470736;-0.54925
1.92083e+08;50;1;-0.140825;-0.602177
1.98796e+08;50;1;-0.307165;-0.602858
2.05745e+08;50;1;-0.467801;-0.546596
2.12936e+08;50;1;-0.599368;-0.444428
2.20379e+08;50;1;-0.690144;-0.315871
2.28081e+08;50;1;-0.740121;-0.17961
2.36053e+08;50;1;-0.756028;-0.0485643
2.44304e+08;50;1;-0.746461;0.070412
2.52843e+08;50;1;-0.719184;0.174774
2.61681e+08;50;1;-0.680249;0.264433
2.70827e+08;50;1;-0.634033;0.340463
2.80293e+08;50;1;-0.58358;0.404356
2.9009e+08;50;1;-0.530968;0.457652
3.00229e+08;50;1;-0.4776;0.501776
3.10723e+08;50;1;-0.424423;0.537988
3.21584e+08;50;1;-0.372073;0.567371
3.32824e+08;50;1;-0.320974;0.590854
3.44457e+08;50;1;-0.271407;0.609227
3.56497e+08;50;1;-0.223551;0.623166
3.68957e+08;50;1;-0.177515;0.63325
3.81853e+08;50;1;-0.133358;0.639979
3.952e+08;50;1;-0.0911063;0.643786
4.09013e+08;50;1;-0.0507567;0.645046
4.23309e+08;50;1;-0.0122895;0.644088
4.38105e+08;50;1;0.024329;0.641202
4.53418e+08;50;1;0.0591423;0.636641
4.69266e+08;50;1;0.0922011;0.630631
4.85668e+08;50;1;0.123561;0.62337
5.02643e+08;50;1;0.153281;0.615036
5.20212e+08;50;1;0.181422;0.605784
5.38394e+08;50;1;0.208047;0.595756
5.57212e+08;50;1;0.233218;0.585076
5.76688e+08;50;1;0.257;0.573854
5.96845e+08;50;1;0.279453;0.56219
6.17706e+08;50;1;0.30064;0.550173
6.39297e+08;50;1;0.320622;0.53788
6.61642e+08;50;1;0.339457;0.525381
6.84768e+08;50;1;0.357202;0.512739
7.08702e+08;50;1;0.373915;0.500008
7.33473e+08;50;1;0.389648;0.487238
7.5911e+08;50;1;0.404454;0.474471
7.85643e+08;50;1;0.418385;0.461746
8.13103e+08;50;1;0.431487;0.449095
8.41523e+08;50;1;0.443809;0.436547
8.70936e+08;50;1;0.455395;0.424129
9.01377e+08;50;1;0.466289;0.411862
9.32883e+08;50;1;0.476531;0.399764
9.65489e+08;50;1;0.486162;0.387853
9.99236e+08;50;1;0.49522;0.376141
1.03416e+09;50;1;0.503741;0.36464
1.07031e+09;50;1;0.511761;0.35336
1.10772e+09;50;1;0.519314;0.342308
1.14644e+09;50;1;0.526432;0.33149
1.18651e+09;50;1;0.533147;0.320911
1.22798e+09;50;1;0.539491;0.310574
1.2709e+09;50;1;0.545492;0.30048
1.31532e+09;50;1;0.551182;0.290631
1.36129e+09;50;1;0.55659;0.281025
1.40887e+09;50;1;0.561744;0.27166
1.45812e+09;50;1;0.566675;0.262532
1.50908e+09;50;1;0.571413;0.253636
1.56183e+09;50;1;0.575989;0.244965
1.61642e+09;50;1;0.580434;0.236506
1.67292e+09;50;1;0.584782;0.228246
1.73139e+09;50;1;0.589068;0.220166
1.79191e+09;50;1;0.593327;0.212241
1.85454e+09;50;1;0.597595;0.204436
1.91936e+09;50;1;0.601906;0.196708
1.98644e+09;50;1;0.606292;0.188999
2.05587e+09;50;1;0.610775;0.181237
2.12773e+09;50;1;0.615361;0.173332
2.2021e+09;50;1;0.620034;0.165178
2.27907e+09;50;1;0.62474;0.15666
