"frequency";"R1";"R2";"r S[1,1]";"i S[1,1]"
1.6742e+08;10000;1;-0.763135;-0.417303
1.73271e+08;10000;1;-0.779469;-0.268325
1.79328e+08;10000;1;-0.755001;-0.110341
1.85596e+08;10000;1;-0.682585;0.0392039
1.92083e+08;10000;1;-0.565774;0.157701
1.98796e+08;10000;1;-0.42216;0.226186
2.05745e+08;10000;1;-0.278016;0.239221
2.12936e+08;10000;1;-0.156588;0.207075
2.20379e+08;10000;1;-0.069603;0.148492
2.28081e+08;10000;1;-0.0171928;0.0814057
2.36053e+08;10000;1;0.00713643;0.0180271
2.44304e+08;10000;1;0.0116502;-0.0354337
2.52843e+08;10000;1;0.00370449;-0.0770047
2.61681e+08;10000;1;-0.0111204;-0.107089
2.70827e+08;10000;1;-0.0289657;-0.127163
2.80293e+08;10000;1;-0.0473349;-0.139032
2.9009e+08;10000;1;-0.0647127;-0.144462
3.00229e+08;10000;1;-0.0802548;-0.145017
3.10723e+08;10000;1;-0.0935611;-0.142015
3.21584e+08;10000;1;-0.104517;-0.136528
3.32824e+08;10000;1;-0.113186;-0.129409
3.44457e+08;10000;1;-0.119733;-0.121319
3.56497e+08;10000;1;-0.124382;-0.112764
3.68957e+08;10000;1;-0.127377;-0.104118
3.81853e+08;10000;1;-0.128967;-0.0956519
3.952e+08;10000;1;-0.129387;-0.0875533
4.09013e+08;10000;1;-0.128856;-0.0799455
4.23309e+08;10000;1;-0.127569;-0.0729022
4.38105e+08;10000;1;-0.125698;-0.0664594
4.53418e+08;10000;1;-0.123391;-0.0606257
4.69266e+08;10000;1;-0.120771;-0.0553895
4.85668e+08;10000;1;-0.117942;-0.0507259
5.02643e+08;10000;1;-0.11499;-0.0466011
5.20212e+08;10000;1;-0.111983;-0.0429761
5.38394e+08;10000;1;-0.108974;-0.0398092
5.57212e+08;10000;1;-0.106004;-0.0370584
5.76688e+08;10000;1;-0.103107;-0.0346827
5.96845e+08;10000;1;-0.100302;-0.0326427
6.17706e+08;10000;1;-0.0976078;-0.0309017
6.39297e+08;10000;1;-0.0950324;-0.0294256
6.61642e+08;10000;1;-0.0925813;-0.0281834
6.84768e+08;10000;1;-0.090256;-0.027147
7.08702e+08;10000;1;-0.0880552;-0.0262912
7.33473e+08;10000;1;-0.0859751;-0.0255936
7.5911e+08;10000;1;-0.0840105;-0.0250343
7.85643e+08;10000;1;-0.0821547;-0.0245956
8.13103e+08;10000;1;-0.0804001;-0.0242621
8.41523e+08;10000;1;-0.0787384;-0.0240203
8.70936e+08;10000;1;-0.0771607;-0.0238582
9.01377e+08;10000;1;-0.0756578;-0.0237655
9.32883e+08;10000;1;-0.0742201;-0.023733
9.65489e+08;10000;1;-0.0728377;-0.0237528
9.99236e+08;10000;1;-0.0715005;-0.0238181
1.03416e+09;10000;1;-0.0701978;-0.0239226
1.07031e+09;10000;1;-0.0689188;-0.0240613
1.10772e+09;10000;1;-0.0676518;-0.0242295
1.14644e+09;10000;1;-0.0663847;-0.0244234
1.18651e+09;10000;1;-0.0651045;-0.0246398
1.22798e+09;10000;1;-0.0637969;-0.0248762
1.2709e+09;10000;1;-0.0624464;-0.025131
1.31532e+09;10000;1;-0.0610359;-0.0254035
1.36129e+09;10000;1;-0.0595461;-0.0256943
1.40887e+09;10000;1;-0.0579552;-0.0260056
1.45812e+09;10000;1;-0.0562387;-0.0263416
1.50908e+09;10000;1;-0.0543686;-0.0267098
1.56183e+09;10000;1;-0.0523128;-0.0271215
1.61642e+09;10000;1;-0.0500349;-0.0275935
1.67292e+09;10000;1;-0.0474937;-0.0281503
1.73139e+09;10000;1;-0.0446432;-0.0288266
1.79191e+09;10000;1;-0.0414334;-0.0296707
1.85454e+09;10000;1;-0.0378118;-0.0307494
1.91936e+09;10000;1;-0.0337267;-0.0321533
1.98644e+09;10000;1;-0.0291344;-0.0340027
2.05587e+09;10000;1;-0.0240088;-0.036454
2.12773e+09;10000;1;-0.0183585;-0.039703
2.2021e+09;10000;1;-0.0122493;-0.0439829
2.27907e+09;10000;1;-0.00583248;-0.0495505
2.35873e+09;10000;1;0.00062649;-0.0566543
2.44117e+09;10000;1;0.00673122;-0.0654794
2.5265e+09;10000;1;0.011968;-0.0760733
2.61481e+09;10000;1;0.0157674;-0.0882722
2.7062e+09;10000;1;0.0176164;-0.101664
2.80079e+09;10000;1;0.0171903;-0.115624
2.89868e+09;10000;1;0.0144498;-0.129433
3e+09;10000;1;0.00965076;-0.142434
1e+08;50;10000;0.233785;-0.945285
1.03495e+08;50;10000;0.183105;-0.951405
1.07113e+08;50;10000;0.13;-0.954201
1.10857e+08;50;10000;0.0746621;-0.953131
1.14731e+08;50;10000;0.0173906;-0.947623
1.18741e+08;50;10000;-0.0413833;-0.937092
1.22892e+08;50;10000;-0.101076;-0.920969
1.27187e+08;50;10000;-0.160937;-0.898741
1.31633e+08;50;10000;-0.220041;-0.870001
1.36233e+08;50;10000;-0.277296;-0.834503
1.40995e+08;50;10000;-0.331476;-0.79223
1.45923e+08;50;10000;-0.381278;-0.743448
1.51024e+08;50;10000;-0.425396;-0.688752
1.56302e+08;50;10000;-0.462629;-0.629075
1.61765e+08;50;10000;-0.491988;-0.565672
1.6742e+08;50;10000;-0.512801;-0.500049
1.73271e+08;50;10000;-0.524784;-0.433863
1.79328e+08;50;10000;-0.52808;-0.368791
1.85596e+08;50;10000;-0.523244;-0.3064
1.92083e+08;50;10000;-0.511175;-0.248028
1.98796e+08;50;10000;-0.493021;-0.194704
2.05745e+08;50;10000;-0.470068;-0.147109
2.12936e+08;50;10000;-0.443627;-0.105577
2.20379e+08;50;10000;-0.414942;-0.070136
2.28081e+08;50;10000;-0.385122;-0.0405625
2.36053e+08;50;10000;-0.355106;-0.0164516
2.44304e+08;50;10000;-0.325642;0.00271901
2.52843e+08;50;10000;-0.297299;0.0175316
2.61681e+08;50;10000;-0.270476;0.0285832
2.70827e+08;50;10000;-0.245434;0.0364523
2.80293e+08;50;10000;-0.222315;0.0416775
2.9009e+08;50;10000;-0.201172;0.044745
3.00229e+08;50;10000;-0.18199;0.0460828
3.10723e+08;50;10000;-0.164705;0.0460601
3.21584e+08;50;10000;-0.149219;0.0449903
3.32824e+08;50;10000;-0.135415;0.0431356
3.44457e+08;50;10000;-0.123165;0.0407119
3.56497e+08;50;10000;-0.112335;0.0378954
3.68957e+08;50;10000;-0.102795;0.0348275
3.81853e+08;50;10000;-0.0944169;0.0316206
3.952e+08;50;10000;-0.087081;0.0283629
4.09013e+08;50;10000;-0.0806747;0.0251218
4.23309e+08;50;10000;-0.0750943;0.0219485
4.38105e+08;50;10000;-0.070245;0.0188804
4.53418e+08;50;10000;-0.0660408;0.0159442
4.69266e+08;50;10000;-0.0624041;0.0131576
4.85668e+08;50;10000;-0.0592653;0.0105315
5.02643e+08;50;10000;-0.0565622;0.00807129
5.20212e+08;50;10000;-0.0542395;0.00577826
5.38394e+08;50;10000;-0.0522478;0.0036504
5.57212e+08;50;10000;-0.0505438;0.00168335
5.76688e+08;50;10000;-0.0490889;-0.00012901
5.96845e+08;50;10000;-0.0478492;-0.00179398
6.17706e+08;50;10000;-0.0467949;-0.00331967
6.39297e+08;50;10000;-0.0458995;-0.00471465
6.61642e+08;50;10000;-0.0451401;-0.00598768
6.84768e+08;50;10000;-0.0444962;-0.00714754
7.08702e+08;50;10000;-0.0439501;-0.00820286
7.33473e+08;50;10000;-0.043486;-0.009162
7.5911e+08;50;10000;-0.0430902;-0.010033
7.85643e+08;50;10000;-0.0427503;-0.0108235
8.13103e+08;50;10000;-0.0424556;-0.0115406
8.41523e+08;50;10000;-0.0421965;-0.0121912
8.70936e+08;50;10000;-0.0419643;-0.0127814
9.01377e+08;50;10000;-0.0417513;-0.0133171
9.32883e+08;50;10000;-0.0415503;-0.0138035
9.65489e+08;50;10000;-0.0413547;-0.0142456
9.99236e+08;50;10000;-0.0411585;-0.0146477
1.03416e+09;50;10000;-0.0409555;-0.015014
1.07031e+09;50;10000;-0.0407401;-0.0153481
1.10772e+09;50;10000;-0.0405063;-0.0156533
1.14644e+09;50;10000;-0.0402483;-0.0159327
1.18651e+09;50;10000;-0.0399597;-0.0161891
1.22798e+09;50;10000;-0.0396338;-0.0164252
1.2709e+09;50;10000;-0.0392633;-0.0166437
1.31532e+09;50;10000;-0.03884;-0.0168472
1.36129e+09;50;10000;-0.0383547;-0.0170386
1.40887e+09;50;10000;-0.0377971;-0.0172216
1.45812e+09;50;10000;-0.0371553;-0.0174002
1.50908e+09;50;10000;-0.0364156;-0.01758
1.56183e+09;50;10000;-0.0355623;-0.0177682
1.61642e+09;50;10000;-0.0345775;-0.0179744
1.67292e+09;50;10000;-0.0334409;-0.0182121
1.73139e+09;50;10000;-0.0321297;-0.0184994
1.79191e+09;50;10000;-0.0306192;-0.018861
1.85454e+09;50;10000;-0.0288832;-0.0193304
1.91936e+09;50;10000;-0.0268962;-0.0199524
1.98644e+09;50;10000;-0.0246361;-0.0207859
2.05587e+09;50;10000;-0.0220892;-0.0219066
2.12773e+09;50;10000;-0.019258;-0.0234086
2.2021e+09;50;10000;-0.0161709;-0.025403
2.27907e+09;50;10000;-0.012895;-0.0280119
2.35873e+09;50;10000;-0.00954837;-0.0313544
2.44117e+09;50;10000;-0.00630727;-0.035523
2.5265e+09;50;10000;-0.00340095;-0.0405526
2.61481e+09;50;10000;-0.00108719;-0.0463883
2.7062e+09;50;10000;0.000392633;-0.0528688
2.80079e+09;50;10000;0.000868176;-0.0597362
2.89868e+09;50;10000;0.000283824;-0.066679
3e+09;50;10000;-0.00128886;-0.0733945
1e+08;10000;10000;0.263798;-0.95444
1.03495e+08;10000;10000;0.217461;-0.964985
1.07113e+08;10000;10000;0.16891;-0.973483
1.10857e+08;10000;10000;0.118174;-0.979644
1.14731e+08;10000;10000;0.065315;-0.983157
1.18741e+08;10000;10000;0.010431;-0.983696
1.22892e+08;10000;10000;-0.0463376;-0.980919
1.27187e+08;10000;10000;-0.104802;-0.974475
1.31633e+08;10000;10000;-0.16472;-0.964011
1.36233e+08;10000;10000;-0.225788;-0.949177
1.40995e+08;10000;10000;-0.287643;-0.929639
1.45923e+08;10000;10000;-0.34985;-0.905085
1.51024e+08;10000;10000;-0.411912;-0.875245
1.56302e+08;10000;10000;-0.473262;-0.839897
1.61765e+08;10000;10000;-0.533272;-0.79889
1.6742e+08;10000;10000;-0.591262;-0.752155
1.73271e+08;10000;10000;-0.646508;-0.69972
1.79328e+08;10000;10000;-0.698263;-0.641724
1.85596e+08;10000;10000;-0.745774;-0.578425
1.92083e+08;10000;10000;-0.788306;-0.510209
1.98796e+08;10000;10000;-0.825165;-0.437588
2.05745e+08;10000;10000;-0.855731;-0.361195
2.12936e+08;10000;10000;-0.879476;-0.281771
2.20379e+08;10000;10000;-0.895991;-0.20015
2.28081e+08;10000;10000;-0.905003;-0.117229
