"frequency";"R1";"R2";"r S[4,1]";"i S[4,1]"
1e+08;50;1;-5.06619e-05;0.000435795
1.03495e+08;50;1;-2.76893e-05;0.000459661
1.07113e+08;50;1;-1.61846e-06;0.000482645
1.10857e+08;50;1;2.76222e-05;0.000504339
1.14731e+08;50;1;6.005e-05;0.000524295
1.18741e+08;50;1;9.56163e-05;0.000542035
1.22892e+08;50;1;0.000134195;0.000557058
1.27187e+08;50;1;0.000175575;0.000568856
1.31633e+08;50;1;0.000219448;0.000576929
1.36233e+08;50;1;0.000265412;0.000580805
1.40995e+08;50;1;0.000312967;0.000580068
1.45923e+08;50;1;0.000361532;0.000574375
1.51024e+08;50;1;0.000410459;0.000563478
1.56302e+08;50;1;0.000459058;0.000547235
1.61765e+08;50;1;0.000506631;0.000525611
1.6742e+08;50;1;0.000552489;0.000498656
1.73271e+08;50;1;0.000595957;0.000466473
1.79328e+08;50;1;0.000636328;0.000429191
1.85596e+08;50;1;0.000672783;0.000386999
1.92083e+08;50;1;0.000704351;0.000340283
1.98796e+08;50;1;0.000730013;0.000289816
2.05745e+08;50;1;0.000748983;0.000236808
2.12936e+08;50;1;0.000760965;0.000182716
2.20379e+08;50;1;0.00076618;0.000128924
2.28081e+08;50;1;0.000765192;7.65355e-05
2.36053e+08;50;1;0.000758706;2.63439e-05
2.44304e+08;50;1;0.000747445;-2.11064e-05
2.52843e+08;50;1;0.000732101;-6.54496e-05
2.61681e+08;50;1;0.000713322;-0.000106448
2.70827e+08;50;1;0.000691716;-0.000143966
2.80293e+08;50;1;0.000667843;-0.000177946
2.9009e+08;50;1;0.000642222;-0.000208402
3.00229e+08;50;1;0.00061532;-0.000235406
3.10723e+08;50;1;0.000587557;-0.000259074
3.21584e+08;50;1;0.0005593;-0.00027956
3.32824e+08;50;1;0.00053087;-0.000297042
3.44457e+08;50;1;0.000502537;-0.000311717
3.56497e+08;50;1;0.000474528;-0.00032379
3.68957e+08;50;1;0.000447029;-0.000333472
3.81853e+08;50;1;0.00042019;-0.000340969
3.952e+08;50;1;0.000394127;-0.000346486
4.09013e+08;50;1;0.000368929;-0.000350216
4.23309e+08;50;1;0.00034466;-0.000352345
4.38105e+08;50;1;0.000321363;-0.000353046
4.53418e+08;50;1;0.000299064;-0.000352479
4.69266e+08;50;1;0.000277774;-0.000350795
4.85668e+08;50;1;0.000257493;-0.00034813
5.02643e+08;50;1;0.00023821;-0.00034461
5.20212e+08;50;1;0.000219908;-0.000340347
5.38394e+08;50;1;0.000202563;-0.000335445
5.57212e+08;50;1;0.000186146;-0.000329996
5.76688e+08;50;1;0.000170625;-0.000324084
5.96845e+08;50;1;0.000155967;-0.000317783
6.17706e+08;50;1;0.000142136;-0.000311159
6.39297e+08;50;1;0.000129094;-0.000304272
6.61642e+08;50;1;0.000116804;-0.000297173
6.84768e+08;50;1;0.000105229;-0.000289908
7.08702e+08;50;1;9.43335e-05;-0.000282519
7.33473e+08;50;1;8.408e-05;-0.000275039
7.5911e+08;50;1;7.44336e-05;-0.0002675
7.85643e+08;50;1;6.53601e-05;-0.000259929
8.13103e+08;50;1;5.68264e-05;-0.000252347
8.41523e+08;50;1;4.88008e-05;-0.000244774
8.70936e+08;50;1;4.12527e-05;-0.000237225
9.01377e+08;50;1;3.41528e-05;-0.000229714
9.32883e+08;50;1;2.74734e-05;-0.000222252
9.65489e+08;50;1;2.1188e-05;-0.000214844
9.99236e+08;50;1;1.52714e-05;-0.000207498
1.03416e+09;50;1;9.70017e-06;-0.000200216
1.07031e+09;50;1;4.45187e-06;-0.000193
1.10772e+09;50;1;-4.94222e-07;-0.000185848
1.14644e+09;50;1;-5.15742e-06;-0.000178757
1.18651e+09;50;1;-9.55543e-06;-0.000171724
1.22798e+09;50;1;-1.37043e-05;-0.00016474
1.2709e+09;50;1;-1.76182e-05;-0.000157796
1.31532e+09;50;1;-2.13093e-05;-0.000150883
1.36129e+09;50;1;-2.47872e-05;-0.000143985
1.40887e+09;50;1;-2.80589e-05;-0.000137087
1.45812e+09;50;1;-3.1128e-05;-0.00013017
1.50908e+09;50;1;-3.39937e-05;-0.000123214
1.56183e+09;50;1;-3.66504e-05;-0.000116195
1.61642e+09;50;1;-3.90858e-05;-0.000109086
1.67292e+09;50;1;-4.12794e-05;-0.000101858
1.73139e+09;50;1;-4.32006e-05;-9.44838e-05
1.79191e+09;50;1;-4.48057e-05;-8.69324e-05
1.85454e+09;50;1;-4.60352e-05;-7.91784e-05
1.91936e+09;50;1;-4.68107e-05;-7.12037e-05
1.98644e+09;50;1;-4.70317e-05;-6.30045e-05
2.05587e+09;50;1;-4.65749e-05;-5.4602e-05
2.12773e+09;50;1;-4.52959e-05;-4.60554e-05
2.2021e+09;50;1;-4.30383e-05;-3.74786e-05
2.27907e+09;50;1;-3.96516e-05;-2.90574e-05
2.35873e+09;50;1;-3.5024e-05;-2.10615e-05
2.44117e+09;50;1;-2.91266e-05;-1.38407e-05
2.5265e+09;50;1;-2.20641e-05;-7.79572e-06
2.61481e+09;50;1;-1.41118e-05;-3.31366e-06
2.7062e+09;50;1;-5.7141e-06;-6.79136e-07
2.80079e+09;50;1;2.57259e-06;1.20595e-08
2.89868e+09;50;1;1.0185e-05;-1.10379e-06
3e+09;50;1;1.66678e-05;-3.68349e-06
1e+08;10000;1;0.000215744;0.000509605
1.03495e+08;10000;1;0.000241354;0.000518091
1.07113e+08;10000;1;0.000268289;0.00052545
1.10857e+08;10000;1;0.000296535;0.000531526
1.14731e+08;10000;1;0.000326061;0.000536154
1.18741e+08;10000;1;0.00035682;0.000539161
1.22892e+08;10000;1;0.000388743;0.000540365
1.27187e+08;10000;1;0.00042174;0.000539585
1.31633e+08;10000;1;0.000455694;0.000536638
1.36233e+08;10000;1;0.000490468;0.000531343
1.40995e+08;10000;1;0.000525897;0.000523529
1.45923e+08;10000;1;0.000561799;0.000513034
1.51024e+08;10000;1;0.000597972;0.000499708
1.56302e+08;10000;1;0.000634208;0.000483407
1.61765e+08;10000;1;0.000670291;0.000463983
1.6742e+08;10000;1;0.000705993;0.000441261
1.73271e+08;10000;1;0.000741043;0.000415008
1.79328e+08;10000;1;0.000775055;0.000384926
1.85596e+08;10000;1;0.000807426;0.000350708
1.92083e+08;10000;1;0.000837271;0.000312206
1.98796e+08;10000;1;0.00086353;0.000269649
2.05745e+08;10000;1;0.000885246;0.00022374
2.12936e+08;10000;1;0.000901837;0.00017549
2.20379e+08;10000;1;0.000913149;0.000125926
2.28081e+08;10000;1;0.000919306;7.59095e-05
2.36053e+08;10000;1;0.00092055;2.6107e-05
2.44304e+08;10000;1;0.000917142;-2.29496e-05
2.52843e+08;10000;1;0.000909346;-7.0803e-05
2.61681e+08;10000;1;0.000897439;-0.000117039
2.70827e+08;10000;1;0.000881721;-0.00016128
2.80293e+08;10000;1;0.000862527;-0.000203186
2.9009e+08;10000;1;0.000840223;-0.000242468
3.00229e+08;10000;1;0.000815202;-0.000278892
3.10723e+08;10000;1;0.000787871;-0.000312284
3.21584e+08;10000;1;0.000758641;-0.000342533
3.32824e+08;10000;1;0.000727918;-0.000369588
3.44457e+08;10000;1;0.000696091;-0.000393451
3.56497e+08;10000;1;0.000663525;-0.000414175
3.68957e+08;10000;1;0.000630555;-0.000431854
3.81853e+08;10000;1;0.000597482;-0.000446614
3.952e+08;10000;1;0.000564572;-0.000458608
4.09013e+08;10000;1;0.000532053;-0.000468007
4.23309e+08;10000;1;0.00050012;-0.000474994
4.38105e+08;10000;1;0.000468933;-0.000479759
4.53418e+08;10000;1;0.00043862;-0.000482491
4.69266e+08;10000;1;0.000409284;-0.00048338
4.85668e+08;10000;1;0.000380998;-0.000482609
5.02643e+08;10000;1;0.000353816;-0.000480352
5.20212e+08;10000;1;0.000327771;-0.000476774
5.38394e+08;10000;1;0.000302881;-0.000472033
5.57212e+08;10000;1;0.000279148;-0.000466271
5.76688e+08;10000;1;0.000256565;-0.000459622
5.96845e+08;10000;1;0.000235114;-0.000452209
6.17706e+08;10000;1;0.00021477;-0.000444141
6.39297e+08;10000;1;0.000195502;-0.000435519
6.61642e+08;10000;1;0.000177274;-0.000426434
6.84768e+08;10000;1;0.000160049;-0.000416966
7.08702e+08;10000;1;0.000143785;-0.000407188
7.33473e+08;10000;1;0.000128439;-0.000397162
7.5911e+08;10000;1;0.000113969;-0.000386947
7.85643e+08;10000;1;0.000100331;-0.000376589
8.13103e+08;10000;1;8.74831e-05;-0.000366133
8.41523e+08;10000;1;7.53817e-05;-0.000355615
